"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.percentage","circ1.r_load.r_int","circ1.r_load.v","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
41,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.1,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.2,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.3,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.4,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.5,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.6,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.7,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.8,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
41.9,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
42,51.00440960337578,51.00440960337578,51.00440960337578,-48.99559039662422,-48.99559039662422,-48.99559039662422,0,0,1.469867711898727,6.94,34.7,51.00440960288582,0.4899559039662422,0.4899559039662422,0.4899559039662422,1e-09,1e-09,1e-09,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0.4899559039662422,0.4899559039662422,0.4899559039662422,-51.00440960288582,-51.00440960288582,-51.00440960288582,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10,-1.469867711898727,-51.00440960288582,1.469867711898727,0,-0.4899559039662422,-0.4899559039662422,-0.4899559039662422,0,0,0,0.4899559039662422,0.4899559039662422,0.4899559039662422,4.899559039662423e-10,4.899559039662423e-10,4.899559039662423e-10
42,54.32747202578521,54.32747202578521,54.32747202578521,-45.67252797421479,-45.67252797421479,-45.67252797421479,1.110223024625157e-16,0,1.370175839226444,7.93,39.65,54.32747202532849,0.4567252797421479,0.4567252797421479,0.4567252797421479,1e-09,1e-09,1e-09,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0.4567252797421479,0.4567252797421479,0.4567252797421479,-54.32747202532849,-54.32747202532849,-54.32747202532849,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,-1.370175839226444,-54.32747202532849,1.370175839226444,0,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0,0,0,0.4567252797421479,0.4567252797421479,0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10
42.1,54.32747202578521,54.32747202578521,54.32747202578521,-45.67252797421479,-45.67252797421479,-45.67252797421479,1.110223024625157e-16,0,1.370175839226444,7.93,39.65,54.32747202532849,0.4567252797421479,0.4567252797421479,0.4567252797421479,1e-09,1e-09,1e-09,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0.4567252797421479,0.4567252797421479,0.4567252797421479,-54.32747202532849,-54.32747202532849,-54.32747202532849,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,-1.370175839226444,-54.32747202532849,1.370175839226444,0,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0,0,0,0.4567252797421479,0.4567252797421479,0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10
42.2,54.32747202578521,54.32747202578521,54.32747202578521,-45.67252797421479,-45.67252797421479,-45.67252797421479,1.110223024625157e-16,0,1.370175839226444,7.93,39.65,54.32747202532849,0.4567252797421479,0.4567252797421479,0.4567252797421479,1e-09,1e-09,1e-09,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0.4567252797421479,0.4567252797421479,0.4567252797421479,-54.32747202532849,-54.32747202532849,-54.32747202532849,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,-1.370175839226444,-54.32747202532849,1.370175839226444,0,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0,0,0,0.4567252797421479,0.4567252797421479,0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10
42.3,54.32747202578521,54.32747202578521,54.32747202578521,-45.67252797421479,-45.67252797421479,-45.67252797421479,1.110223024625157e-16,0,1.370175839226444,7.93,39.65,54.32747202532849,0.4567252797421479,0.4567252797421479,0.4567252797421479,1e-09,1e-09,1e-09,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0.4567252797421479,0.4567252797421479,0.4567252797421479,-54.32747202532849,-54.32747202532849,-54.32747202532849,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10,-1.370175839226444,-54.32747202532849,1.370175839226444,0,-0.4567252797421479,-0.4567252797421479,-0.4567252797421479,0,0,0,0.4567252797421479,0.4567252797421479,0.4567252797421479,4.567252797421479e-10,4.567252797421479e-10,4.567252797421479e-10
